id,artist,song_name,price
1,Polo G,RAPSTAR,$1.29 
2,Lil Nas X,MONTERO (Call Me By Your Name),$0.69 
3,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,$0.69 
4,Justin Bieber Featuring Daniel Caesar & Giveon,Fuck the Pain Away,$1.29 
5,The Weeknd,Save Your Tears,$1.29 
6,Dua Lipa Featuring DaBaby,Levitating (feat. DaBaby),$0.69 
7,Doja Cat Featuring SZA,Kiss Me More (feat. SZA),$1.29 
8,Cardi B,Up! (feat. 50 Cent),$1.29 
9,Olivia Rodrigo,drivers license,$1.29 
10,Masked Wolf,Astronaut In The Ocean,$1.29 
11,The Weeknd,Blinding Lights,$0.99 
12,SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box,$1.29 
13,Lil Tjay Featuring 6LACK,Calling My Phone,$1.29 
14,Pop Smoke,What You Know Bout Love,$1.29 
15,Olivia Rodrigo,Deja Vu (feat. JAY-Z),$1.29 
16,DMX,Ruff Ryders' Anthem,$0.99 
17,Saweetie Featuring Doja Cat,Best Friend (feat. Eminem),$1.29 
18,24kGoldn Featuring iann dior,Lady (Hear Me Tonight),$0.99 
19,Gabby Barrett,The Good Ones,$0.69 
20,Pooh Shiesty Featuring Lil Durk,Back in Blood (feat. Lil Durk),$1.29 
21,Ariana Grande,34+35 (feat. Doja Cat & Megan Thee Stallion),$1.29 
22,Chris Brown & Young Thug,Go Crazy (feat. Jay-Z),$1.29 
23,Tate McRae,you broke me first,$1.29 
24,Billie Eilish,The Art of Transparency,$0.99 
25,Drake,What’s Next,$1.29 
26,Giveon,Heartbreak Anniversary,$1.29 
27,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes,$1.29 
28,Machine Gun Kelly X blackbear,my ex's best friend,$1.29 
29,Yung Bleu Featuring Drake,You’re Mines Still (feat. Drake),$1.29 
30,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),$1.29 
31,Ariana Grande,positions,$1.29 
32,The Kid LAROI,Without You (feat. Usher),$1.29 
33,Lil Baby,On Me (feat. Kendrick Lamar),$1.29 
34,Bad Bunny & Jhay Cortez,DÁKITI,$1.29 
35,Mooski,Track Star,$1.29 
36,Pop Smoke Featuring Lil Baby & DaBaby,For The Night (feat. Lil Baby & DaBaby),$1.29 
37,Coi Leray Featuring Lil Durk,No More Parties (feat. Lil Durk),$1.29 
38,Rod Wave,Tombstone,$1.29 
39,SZA,Good Days,$1.29 
40,DMX,Party Up (Up in Here),$1.29 
41,Glass Animals,Heat Waves,$1.29 
42,Chris Stapleton,Starting Over,$1.29 
43,Jake Owen,Made for You,$1.29 
44,Luke Combs,Forever After All,$1.29 
45,Dua Lipa,We're Good,$1.29 
46,DMX,X Gon' Give It To Ya,$0.99 
47,Drake Featuring Lil Baby,Wants and Needs (feat. Lil Baby),$1.29 
48,Doja Cat,If Love Should Go,$1.29 
49,Megan Thee Stallion Featuring DaBaby,Cry Baby,$1.29 
50,Travis Scott & HVME,goosebumps,$1.29 
51,Moneybagg Yo,Time Today,$1.29 
52,Taylor Swift,Love Story (Taylor’s Version),$1.29 
53,Rod Wave,Street Runner,$1.29 
54,Thomas Rhett,What's Your Country Song,$1.29 
55,Rod Wave Featuring Polo G,Richer (feat. Polo G),$1.29 
56,Kali Uchis,telepatía,$1.29 
57,Parmalee x Blanco Brown,Just the Way,$1.29 
58,Eric Church,Hell of a View,$1.29 
59,Tenille Arts,Somebody Like That,$1.29 
60,Florida Georgia Line,Long Live,$1.29 
61,Luke Bryan,Down to One,$1.29 
62,Taylor Swift,Whip My Hair,$1.29 
63,Justin Bieber,Hold On,($1.00)
64,"Lil Tjay, Polo G & Fivio Foreign",Headshot,$1.29 
65,Taylor Swift,Forever & Always (Piano Version) (Taylor’s Version),$1.29 
66,Brett Young,Twerk,$0.99 
67,Sam Hunt,Breaking Up Was Easy in the 90's,$1.29 
68,H.E.R.,Damage,$1.29 
69,Dustin Lynch,Momma's House,$1.29 
70,Justin Bieber,Anyone,$1.29 
71,Taylor Swift,Fearless (Taylor’s Version),$1.29 
72,Taylor Swift Featuring Maren Morris,You All Over Me (Taylor’s Version) (From The Vault) [feat. Maren Morris],$1.29 
73,Ava Max,My Head & My Heart (Kastra Remix),$1.29 
74,Bad Bunny & Rosalia,LA NOCHE DE ANOCHE,$1.29 
75,Taylor Swift,You Belong With Me (Taylor’s Version),$1.29 
76,Miranda Lambert,Settling Down,$1.29 
77,Lil Durk,Hellcats & Trackhawks,$1.29 
78,Dan + Shay,Glad You Exist,$0.69 
79,Lil Tjay Featuring Offset & Moneybagg Yo,Run It Up (feat. Marissa),$1.29 
80,Jordan Davis,Almost Maybes,$1.29 
81,Kevin Gates,Big Gangsta,$1.29 
